word,level_index,level
ABANDON,7,academic
ABLE,6,5
ABOUT,4,3
ABOVE,6,5
ABSTRACT,7,academic
ACADEMY,7,academic
ACCESS,7,academic
ACCOMMODATE,7,academic
ACCOMPANY,7,academic
ACCUMULATE,7,academic
ACCURATE,7,academic
ACHIEVE,7,academic
ACKNOWLEDGE,7,academic
ACQUIRE,7,academic
ACROSS,5,4
ACT,6,5
ACTION,4,3
ACTUALLY,6,5
ADAPT,7,academic
ADD,2,1
ADDITION,4,3
ADEQUATE,7,academic
ADJACENT,7,academic
ADJECTIVE,6,5
ADJUST,7,academic
ADMINISTRATE,7,academic
ADULT,7,academic
ADVOCATE,7,academic
AFFECT,7,academic
AFRAID,6,5
AFRICA,6,5
AFTER,1,k
AGAIN,2,1
AGAINST,6,5
AGE,6,5
AGGREGATE,7,academic
AGO,5,4
AGREED,6,5
AHEAD,4,3
AID,7,academic
AIR,6,5
ALBEIT,7,academic
ALL,1,k
ALLOCATE,7,academic
ALLOW,6,5
ALMOST,6,5
ALONE,5,4
ALONG,5,4
ALREADY,5,4
ALSO,5,4
ALTER,7,academic
ALTERNATIVE,7,academic
ALTHOUGH,6,5
ALWAYS,3,2
AM,1,k
AMBIGUOUS,7,academic
AMEND,7,academic
AMERICA,6,5
AMONG,6,5
AMOUNT,6,5
AN,2,1
ANALOGY,7,academic
ANALYSE,7,academic
AND,0,prek
ANGLE,6,5
ANIMAL,6,5
ANNUAL,7,academic
ANOTHER,6,5
ANSWER,6,5
ANTICIPATE,7,academic
ANY,2,1
ANYTHING,3,2
APPARENT,7,academic
APPEAR,3,2
APPEND,7,academic
APPLE,1,k
APPRECIATE,7,academic
APPROACH,7,academic
APPROPRIATE,7,academic
APPROXIMATE,7,academic
ARBITRARY,7,academic
ARE,1,k
AREA,2,1
ARMS,6,5
ARMY,6,5
AROUND,3,2
ARRIVED,6,5
ART,6,5
AS,1,k
ASK,2,1
ASPECT,7,academic
ASSEMBLE,7,academic
ASSESS,7,academic
ASSIGN,7,academic
ASSIST,7,academic
ASSUME,7,academic
ASSURE,7,academic
AT,1,k
ATE,1,k
ATTACH,7,academic
ATTAIN,7,academic
ATTITUDE,7,academic
ATTRIBUTE,7,academic
AUTHOR,7,academic
AUTHORITY,7,academic
AUTOMATE,7,academic
AVAILABLE,7,academic
AWARE,7,academic
AWAY,0,prek
BABY,1,k
BACK,1,k
BAD,5,4
